Museum,University,Abbreviation,IPTurl,IPTCollCount,Mammals,Herps,Birds,Fish,Special,Paleo,Tissues,NonVert,Country,State,City
Ajtte Museum,,AJTT,http://www.gbif.se/ipt/resource.do?r=ajtt-ajn - via GBIF Sweden,4,-1,-1,-1,-1,,,,,SWE,,Jokkmokk
Alaska Ocean Observing System,,AOOS,,1,,,,-1,,,,,USA,AK,Anchorage
Albertson College,College of Idaho (formerly Albertson College),ACI,,4,,-1,-1,-1,-1,,,,USA,ID,Caldwell
Antarctic Site Inventory - Oceanites,,ASI,,1,,,-1,,,,,,ATA,MD,Chevy Chase
Australian Antarctic Data Center,,AADC,,2,,,,,,,,,AUS,TAS,Kingston
"Aves & ConservaciÃ_n, Birdlife",,,,1,,,,,,,,,ECU,,Quito
Banc de Dades de Biodiversitat de Catalunya,University of Barcelona,BDBC,,1,,,,,,,,,SPN,ES-CT,Barcelona
Biozentrum Grindel und Zoologisches Museum,University of Hamburg,UUH,,1,,,,,,,,,DEU,,Hamburg
California Polytechnic State University Vertebrate Collection,California Polytechnic State University,CalPoly,,2,-1,,-1,,,,,,USA,CA,San Luis Obispo
Centro Nacional Patagonico - CONICET,,CONICET,"http://ipt.mincyt.gob.ar/
http://www.cenpat-conicet.gov.ar:8080/ipt-2.0.3/",1,,,,,,,,,ARG,AR-U,Puerto Madryn
Charles Darwin Foundation,,CDF,,4,,,,,,,,,ECU,,Galapagos Islands
Chengdu Institute of Biology,Chinese Academy of Sciences,CIB,,1,,-1,,,,,,,CHN, Sichuan,Chengdu
Columibia-Greene Community College Natural History Museum,Columbia-Greene Community College,CGCC,,1,,,-1,,,,,,USA,NY,Hudson
Comision nacional para el conocimiento y uso de la biodiversidad,,CONABIO,,1,,,,,,,,,MEX,DF,Mexico City
ECOCEAN Whale shark Identification,,ECOCEAN,,1,,,,-1,,,,,USA,OR,Portland
Ecuadorian Museum of Natural Science,Universidad San Francisco de Quito,MECN,,1,,,,,,,,,ECU,,Quito
EMAN,,EMAN,,1,,,,,,,,,CAN,ON,Burlington
Finnish Museum of Natural History,,Helsinki,http://ipt.digitarium.fi/,1,,,,,,,,,FIN,,Helsinki
Florida Fish and Wildlife Conservation Commission,,FWRI,,1,,,,-1,,,,,USA,FL,St. Petersburg
FundacÃ_on Miguel Lillo Provider,,LILLO,http://ipt.mincyt.gob.ar/,1,,,,,,,,,ARG,,Tucuman
